metric,Mean,Min,Max
sse,1619238.3339505133,1551849.075293844,1706739.7567225657
quantization_error,nan,nan,nan
accuracy,0.5746058245223521,0.44017807456872565,0.667779632721202
NMI,0.5102202021041506,0.3930315613140012,0.5742566954549793
precision_score,0.5436653682062697,0.36449638286032277,0.662771285475793
recall_score,0.5436653682062697,0.36449638286032277,0.662771285475793
v_measure_score,0.5102202021041508,0.3930315613140014,0.5742566954549795
completeness_score,0.5432320768560539,0.44795475196304446,0.616736471694369
homogeneity_score,0.48175268718452646,0.3501055437976765,0.5626878723291
adjusted_rand_score,0.37702533554914486,0.21953422135255535,0.4687631438806413
adjusted_mutual_info_score,0.5060598539489343,0.38849992279317863,0.5707246529527608
fowlkes_mallows_score,0.4561030695795697,0.33800051444155055,0.5276885290319322
cohen_kappa_score,0.49309155573024493,0.29426972911127824,0.62531753057807
