metric,Mean,Min,Max
sse,3145.270949334076,3128.246417924626,3168.865086967869
quantization_error,3.970346887245384,3.265016106284424,5.061419319568548
accuracy,0.8406944444444444,0.8125,0.8666666666666667
NMI,0.4120417304586441,0.3319345426302108,0.5004630486513276
precision_score,0.023194444444444445,0.008333333333333333,0.0375
recall_score,0.023194444444444445,0.008333333333333333,0.0375
v_measure_score,0.412041730458644,0.33193454263021066,0.5004630486513283
completeness_score,0.4012757441403844,0.32304638653474643,0.48693147602559594
homogeneity_score,0.42340478735194065,0.34132562566581515,0.5147681890636632
adjusted_rand_score,0.4629731558274147,0.3881487946511562,0.5359250716244923
adjusted_mutual_info_score,0.410202905753681,0.32984659833246244,0.49890227220011973
fowlkes_mallows_score,0.7412118749619971,0.7046579714771314,0.7761950229983177
cohen_kappa_score,-0.20621490943389817,-0.22247191011235956,-0.18873021999228112
