metric,Mean,Min,Max
sse,501.8336597121857,455.3382621155,540.0740316935207
quantization_error,nan,nan,nan
accuracy,0.5518691588785047,0.48130841121495327,0.6448598130841121
NMI,0.3373477246480967,0.2734788184947651,0.4457272955163919
precision_score,0.22647975077881619,0.056074766355140186,0.3130841121495327
recall_score,0.22647975077881619,0.056074766355140186,0.3130841121495327
v_measure_score,0.33734772464809665,0.27347881849476496,0.4457272955163922
completeness_score,0.36249339166639355,0.2780809941424477,0.5667984932233513
homogeneity_score,0.3177003351022042,0.24457933325236147,0.39156288264012984
adjusted_rand_score,0.21566240039111015,0.1503931392997346,0.2843388769836679
adjusted_mutual_info_score,0.31317262871448953,0.25205532918996326,0.421267949236911
fowlkes_mallows_score,0.4405707849394755,0.36992534682729467,0.5686736287889382
cohen_kappa_score,0.043370094077130376,-0.11815478767933962,0.1192429375367472
